Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
CS,90.24,86.37,87.83,74.83,89.68,23.2,98.75,29.6,No,No,High,2,6.4
Mathematics,85.2,49.11,94.47,73.96,67.11,62.3,77.43,21.1,No,Yes,Low,7,7.9
Engineering,99.53,75.15,97.92,52.03,61.5,73.60000000000001,91.94,10.6,Yes,No,High,2,8.4
Business,56.82,59.42,63.1,50.84,72.0,30.5,80.53,11.4,No,Yes,Medium,5,7.4
Engineering,53.61,49.64,89.46,82.57,85.13,66.9,71.41,25.5,Yes,No,Medium,6,6.4
Mathematics,60.6,70.21,64.48,87.85,52.26,54.8,67.65,25.3,Yes,No,Medium,6,5.6
Business,97.52,68.62,74.59,63.89,63.08,41.0,58.48,9.4,No,Yes,High,8,8.0
Mathematics,78.28,46.44,49.6,50.55,92.05,27.4,86.43,28.3,No,No,Medium,5,4.2
Business,96.48,80.5,70.97,88.88,91.42,39.7,51.01,27.8,No,Yes,Low,5,7.9
Mathematics,95.85,67.58,78.82,91.49,63.32,21.6,67.01,26.9,No,No,Low,5,7.0
Engineering,93.11,60.45,50.51,67.2,76.21,57.2,56.21,10.8,No,Yes,Low,3,5.5
Engineering,82.19,86.16,97.84,54.69,67.08,37.9,81.93,9.3,Yes,No,Medium,8,8.2
Engineering,69.75,43.65,62.86,84.01,82.12,30.9,84.87,8.4,No,No,Medium,1,4.4
Engineering,91.76,91.28,82.53,79.92,76.3,89.39999999999999,65.03,29.7,No,Yes,Medium,10,8.0
Engineering,81.39,93.51,52.25,93.06,53.63,78.2,74.55,19.5,No,No,Low,8,8.1
Business,75.02,59.88,98.29,98.71,53.47,73.60000000000001,56.49,19.7,No,No,Low,2,7.0
CS,89.32,99.84,63.74,73.71,70.08,74.2,84.36,21.0,No,Yes,High,9,7.6
Engineering,92.74,70.98,49.71,60.27,85.74,56.0,58.07,6.3,No,Yes,Medium,5,7.2
Business,92.69,71.22,88.81,52.63,68.31,38.0,64.25,24.3,No,No,Low,1,6.8
Mathematics,81.7,56.92,55.34,87.28,93.02,45.6,95.88,20.0,No,Yes,Low,10,7.6
Mathematics,84.05,89.78,86.77,71.25,75.09,19.6,63.57,21.5,Yes,Yes,Low,6,4.8
CS,57.16,42.8,93.41,89.94,83.86,67.2,96.82,25.7,No,No,Low,8,8.0
CS,74.73,81.32,91.08,76.86,88.05,62.8,87.6,29.6,Yes,No,Medium,7,5.3
Mathematics,51.08,46.25,96.03,87.15,54.08,44.5,75.5,26.6,Yes,Yes,Low,3,6.9
CS,63.43,70.94,54.37,72.49,93.25,89.39999999999999,100.0,16.3,Yes,No,High,3,6.1
Engineering,78.93,79.09,66.33,82.71,54.34,42.2,71.4,22.7,No,No,Medium,2,6.4
CS,96.11,63.52,66.98,97.4,69.57,12.2,59.04,9.5,No,Yes,Low,1,5.9
Mathematics,65.14,40.68,42.28,50.34,94.28,94.4,56.29,24.5,No,Yes,Medium,3,4.7
CS,70.89,40.89,45.39,81.7,96.65,93.5,97.16,11.4,No,No,Low,9,5.2
Engineering,60.01,85.91,51.83,99.99,99.32,69.80000000000001,66.52,14.2,No,Yes,Low,2,8.3
Business,97.52,58.84,68.77,94.83,82.02,33.0,76.83,21.8,No,Yes,Low,1,8.1
Business,53.68,99.79,83.14,82.9,80.64,48.9,64.68,21.1,Yes,Yes,High,5,7.9
Engineering,70.04,61.89,61.16,51.07,90.7,12.6,94.71,11.1,Yes,No,Medium,2,6.1
Business,86.97,60.86,55.88,82.56,56.48,98.6,95.89,9.4,Yes,No,Medium,9,4.4
Business,60.91,57.56,69.94,58.57,86.34,26.9,94.13,14.5,Yes,Yes,High,9,5.3
CS,58.88,57.17,87.17,62.0,97.16,0.6,58.29,6.4,Yes,Yes,Medium,3,4.4
Business,71.01,48.28,55.92,71.29,98.67,84.5,97.26,9.5,No,Yes,Low,5,4.8
Engineering,94.25,40.78,79.57,68.87,72.52,16.7,54.3,8.1,Yes,Yes,Medium,5,6.2
CS,62.63,55.57,81.45,75.98,53.74,96.0,65.98,6.3,Yes,Yes,High,8,4.8
Mathematics,80.31,83.88,48.6,92.67,81.07,51.4,50.53,9.8,Yes,Yes,Low,9,7.5
Business,95.25,57.54,40.83,59.52,93.81,61.900000000000006,87.14,15.2,No,No,High,3,7.4
Business,86.08,99.6,63.74,56.19,99.87,98.7,53.31,11.4,No,No,Low,2,5.1
Engineering,94.87,43.1,66.51,83.64,83.18,29.5,75.11,22.0,Yes,No,Medium,1,4.2
Business,57.6,66.26,89.07,84.52,98.4,23.0,93.65,15.2,Yes,Yes,High,9,4.8
Mathematics,65.03,56.16,84.98,85.2,72.25,77.6,57.7,28.0,Yes,Yes,Low,6,5.4
Engineering,75.29,77.8,77.62,59.71,67.69,53.9,92.6,9.1,Yes,No,Low,2,6.9
Engineering,67.92,54.8,44.47,62.8,51.3,58.8,82.41,17.3,Yes,No,Medium,9,7.3
Business,58.21,43.97,70.83,61.04,95.23,87.4,92.2,26.9,Yes,Yes,Low,4,7.0
Engineering,51.15,87.09,50.83,86.94,53.38,66.2,77.49,25.3,Yes,Yes,High,3,4.2
Mathematics,69.06,94.42,84.99,85.3,81.54,65.0,59.6,6.0,Yes,Yes,Medium,10,4.0
Mathematics,78.37,43.96,78.51,83.74,65.26,46.1,79.97,29.7,No,Yes,Low,6,7.8
Engineering,77.3,87.34,76.83,90.94,58.77,84.80000000000001,82.47,27.5,No,Yes,Low,5,5.6
Business,73.47,57.05,51.14,51.91,94.39,39.7,67.32,25.5,Yes,Yes,Low,4,7.1
Mathematics,90.69,89.05,59.19,76.19,53.2,88.4,66.36,11.5,No,No,Medium,10,5.7
Engineering,83.07,42.3,71.12,64.0,98.28,71.6,62.25,11.3,Yes,No,Low,5,6.1
Mathematics,96.87,99.25,81.99,77.41,79.72,93.4,76.5,24.6,Yes,Yes,Medium,9,4.2
Engineering,82.78,53.85,65.25,64.61,71.29,85.9,62.33,18.3,No,No,High,7,7.1
Mathematics,74.97,86.25,59.86,56.91,82.74,27.0,53.48,27.3,Yes,Yes,High,7,4.1
Business,92.46,68.71,57.12,86.26,94.3,36.2,94.24,7.7,No,No,Medium,5,5.5
CS,75.06,75.52,93.09,88.6,91.92,71.2,51.51,15.4,Yes,No,Low,4,8.2
Mathematics,74.48,48.82,90.04,93.96,71.98,5.699999999999999,98.87,22.9,No,No,Low,5,6.8
Business,72.22,55.65,77.03,84.3,96.35,67.9,57.61,12.0,No,No,Low,5,7.8
Engineering,93.37,60.52,43.25,68.72,58.34,16.299999999999997,67.29,6.5,No,Yes,Low,3,8.7
Engineering,96.56,88.56,51.53,66.71,70.13,10.6,67.64,8.5,Yes,Yes,Low,6,4.5
Business,93.75,85.06,82.35,77.8,83.21,61.4,94.51,22.9,Yes,No,Medium,1,5.7
Engineering,57.45,51.27,77.21,95.82,88.13,33.9,79.13,10.5,Yes,Yes,Medium,3,7.5
CS,66.02,97.41,86.45,77.13,58.75,73.0,55.54,15.3,Yes,No,High,2,7.5
CS,55.24,41.6,57.7,83.76,89.4,10.1,97.87,23.9,No,No,Low,3,6.1
CS,81.85,53.83,64.56,90.14,69.76,4.8,73.97,5.2,Yes,No,Medium,5,5.0
Mathematics,64.72,81.88,48.86,82.49,54.72,60.8,58.22,8.1,Yes,No,High,1,7.0
Engineering,91.38,51.15,82.04,97.84,86.92,35.7,83.58,29.2,No,No,High,5,5.5
Engineering,88.38,97.46,52.64,71.27,65.97,78.8,74.48,22.7,No,Yes,Medium,4,4.3
Mathematics,61.27,81.87,45.16,55.51,78.62,10.6,64.81,23.4,Yes,Yes,Medium,9,8.8
Business,52.78,98.93,47.59,54.43,72.28,95.2,61.01,21.5,No,Yes,Low,7,4.1
Mathematics,96.3,78.67,47.42,57.89,85.96,47.8,52.33,24.2,No,Yes,Medium,4,7.2
CS,62.21,97.81,75.23,96.45,76.42,59.5,72.93,25.3,No,Yes,High,9,7.5
Business,61.82,94.77,70.76,78.95,83.69,44.1,56.73,17.6,Yes,Yes,High,2,6.5
CS,80.66,72.34,79.7,52.5,94.39,62.5,89.35,16.6,No,No,Low,1,5.3
Engineering,87.38,95.24,83.38,67.47,50.81,55.1,52.95,19.9,No,No,Medium,9,8.1
Business,91.46,48.73,76.61,51.2,72.41,50.1,72.89,6.4,Yes,Yes,High,5,6.3
Mathematics,94.14,90.44,54.18,82.7,93.55,32.1,53.57,19.1,Yes,Yes,Medium,5,8.7
CS,54.23,52.61,43.81,60.48,79.78,24.1,67.5,22.2,Yes,Yes,Low,6,4.4
Engineering,52.85,78.87,53.36,99.87,94.44,44.3,85.35,24.0,Yes,No,Medium,4,4.9
Business,90.94,96.79,82.76,86.72,93.7,14.4,88.89,14.4,Yes,Yes,Medium,9,6.0
Mathematics,99.64,77.31,58.45,88.2,98.61,70.7,78.06,17.3,No,Yes,Medium,1,7.5
Business,90.91,72.02,41.45,76.08,80.85,14.5,69.46,15.4,No,No,Low,2,6.4
Engineering,88.03,59.85,42.69,81.44,62.93,45.8,89.49,15.7,No,No,Low,8,4.8
CS,89.85,82.33,58.5,62.41,67.19,83.3,50.25,27.7,No,Yes,Low,9,5.0
Mathematics,95.9,95.24,42.66,53.98,92.17,82.30000000000001,76.51,27.1,No,No,High,4,7.8
Mathematics,79.1,67.38,97.4,91.09,81.03,23.9,93.67,19.1,No,No,High,1,7.2
Business,83.68,54.06,71.57,69.93,78.83,96.7,64.24,19.8,Yes,No,Low,8,7.1
CS,61.5,50.83,55.64,74.04,60.13,93.3,94.13,28.4,No,Yes,Medium,10,7.6
Mathematics,80.85,72.86,53.41,99.41,65.25,4.699999999999999,85.01,28.3,Yes,Yes,Low,3,5.0
CS,71.82,47.99,89.45,61.99,53.48,15.1,81.12,13.9,No,No,Low,6,8.4
CS,83.99,54.42,46.26,73.8,53.11,18.1,66.22,20.0,No,Yes,Medium,6,6.0
Engineering,69.6,85.28,96.87,52.06,51.85,54.5,77.36,16.7,Yes,Yes,Medium,4,8.4
Business,57.28,49.78,47.54,71.14,77.84,76.2,71.45,25.3,Yes,Yes,Low,7,7.2
CS,51.05,98.15,93.7,60.66,62.51,60.8,52.86,26.3,Yes,No,Medium,3,7.9
CS,55.52,71.45,41.62,81.57,65.14,72.30000000000001,78.18,19.8,Yes,No,High,2,6.3
Business,62.36,56.71,84.81,95.68,82.24,38.3,68.95,5.5,No,Yes,Low,5,4.4
Engineering,79.77,90.52,53.33,84.79,58.14,64.0,71.62,26.4,No,No,High,3,4.9
CS,66.39,96.46,90.01,74.9,58.25,22.200000000000003,77.3,20.2,No,Yes,Medium,10,6.2
CS,62.53,65.59,61.55,54.24,69.78,69.1,91.14,10.1,No,Yes,Low,6,5.4
Business,84.09,96.95,57.06,54.35,93.73,20.6,57.92,24.6,Yes,No,High,6,6.3
Business,56.76,44.02,69.17,79.82,59.64,3.2,93.6,20.1,No,Yes,High,4,4.1
Business,68.17,70.66,52.88,65.14,76.52,33.9,77.04,18.2,Yes,Yes,High,2,5.2
Engineering,64.22,44.25,80.82,59.98,83.58,4.4,59.77,16.2,No,Yes,High,3,7.9
Engineering,50.94,98.21,80.97,55.06,87.41,41.7,59.65,26.1,Yes,No,Low,4,6.3
Engineering,58.01,96.26,50.59,86.06,95.82,61.4,67.85,26.6,Yes,Yes,High,8,6.1
Engineering,86.97,86.48,41.14,76.05,77.18,9.3,65.75,13.1,No,No,Medium,4,6.6
Mathematics,58.27,78.54,79.24,82.59,99.51,16.4,51.21,21.6,Yes,Yes,High,10,5.3
Engineering,81.07,44.89,75.82,95.56,56.59,93.4,90.25,14.5,Yes,No,Medium,3,7.4
CS,92.63,82.02,42.47,90.35,84.53,96.7,53.81,14.3,No,No,Medium,7,8.7
Mathematics,96.8,99.87,70.11,56.47,94.03,89.80000000000001,51.52,24.3,Yes,Yes,Low,1,5.2
Engineering,73.58,79.47,94.41,91.98,66.33,14.4,63.21,13.2,No,No,Low,5,7.5
CS,96.81,53.81,73.15,51.59,55.37,11.3,88.49,9.8,No,No,High,5,4.6
Mathematics,86.53,79.19,85.29,67.22,95.73,19.7,80.46,26.7,No,Yes,High,8,5.2
Mathematics,97.13,67.03,49.93,94.06,68.32,31.8,69.51,15.3,Yes,No,Medium,7,5.6
CS,94.46,86.52,43.71,70.3,66.36,65.19999999999999,82.27,26.8,Yes,Yes,Medium,7,5.9
Engineering,67.81,98.78,75.82,97.26,78.39,46.2,51.14,14.4,Yes,No,High,3,6.8
Engineering,66.25,89.83,59.35,91.69,75.71,16.7,66.25,12.5,No,Yes,Medium,3,6.0
Business,97.64,75.18,89.66,94.58,77.24,92.0,65.8,16.9,Yes,No,Medium,6,6.1
Business,84.51,99.67,84.55,61.64,67.59,18.0,70.44,16.8,No,Yes,High,2,7.5
Mathematics,67.36,99.92,44.89,56.73,66.47,60.0,53.39,18.8,No,No,Medium,9,7.3
Engineering,61.42,79.29,93.98,61.02,75.21,61.4,86.55,13.9,No,No,Medium,4,8.9
Business,65.83,84.44,42.24,69.65,66.92,6.4,96.55,22.7,No,Yes,Medium,10,8.3
CS,65.47,42.58,90.51,56.84,63.88,63.1,89.27,17.7,Yes,Yes,Medium,7,4.5
CS,60.53,76.41,82.52,94.93,79.28,40.6,57.58,9.5,Yes,No,Low,2,5.5
Mathematics,67.42,92.83,61.54,85.31,92.77,70.3,90.87,7.3,No,No,Low,7,6.5
Engineering,81.37,48.61,43.33,57.8,50.7,61.5,69.54,7.5,Yes,Yes,Medium,2,8.7
Business,80.66,67.87,53.78,62.27,55.77,29.8,69.0,19.4,No,Yes,Low,10,4.3
Engineering,86.63,80.79,46.04,94.93,88.78,57.9,55.45,22.4,Yes,Yes,Medium,2,5.0
Mathematics,62.17,62.54,55.82,68.06,58.19,11.1,50.51,15.6,Yes,Yes,Medium,1,7.3
Engineering,52.21,66.91,48.97,77.94,63.19,99.1,64.2,10.2,No,No,Medium,2,4.7
Engineering,96.77,58.11,48.86,86.25,94.3,78.60000000000001,97.06,24.5,Yes,Yes,Medium,10,8.0
Business,81.48,98.54,41.66,64.5,76.73,38.5,60.06,18.4,Yes,No,High,1,4.6
CS,51.58,86.14,66.35,53.66,90.77,71.7,57.44,21.8,No,No,Medium,9,6.8
Engineering,77.58,90.26,46.29,95.65,82.96,78.60000000000001,92.51,13.0,Yes,Yes,Low,9,7.1
CS,82.73,72.88,90.99,99.15,71.08,41.900000000000006,81.81,9.1,No,Yes,Low,8,6.2
Mathematics,72.66,58.86,84.12,87.17,94.51,41.900000000000006,50.66,29.6,Yes,Yes,Medium,5,5.2
Mathematics,86.81,69.26,60.36,55.05,72.05,49.5,61.55,26.7,No,Yes,High,10,8.5
CS,94.71,95.31,57.54,70.98,63.19,88.69999999999999,81.72,7.2,No,Yes,High,10,4.9
Business,94.1,83.41,47.99,54.68,77.05,0.5,63.77,22.9,No,No,Low,1,4.5
Engineering,87.66,43.83,85.7,65.81,58.72,48.2,57.94,20.7,No,No,Low,7,4.8
Mathematics,87.48,98.0,90.12,90.38,81.01,65.19999999999999,79.72,7.2,No,Yes,High,3,7.6
Mathematics,61.1,73.09,86.89,53.78,76.82,90.5,57.42,10.3,Yes,No,Low,1,8.9
Engineering,99.19,94.68,81.6,52.47,82.56,79.3,63.24,14.5,No,Yes,Medium,10,4.9
Mathematics,63.18,90.85,41.67,52.07,79.08,72.5,98.09,5.8,Yes,No,Medium,3,7.2
Business,82.81,73.41,99.15,85.93,96.28,62.400000000000006,58.13,26.9,No,No,Medium,8,7.4
Engineering,73.58,71.59,60.18,89.12,56.91,39.4,73.65,14.3,No,No,Medium,9,8.6
Mathematics,94.63,93.92,68.43,50.36,99.3,82.4,73.05,12.7,No,Yes,High,1,8.6
CS,83.49,51.19,57.95,88.69,76.75,85.39999999999999,80.39,5.9,Yes,No,High,8,4.8
Business,82.34,70.06,71.25,89.34,62.66,99.1,96.97,22.8,Yes,No,Low,9,7.8
CS,62.85,47.77,99.28,75.66,73.67,27.8,87.58,8.8,No,No,High,3,7.6
Business,77.18,87.57,98.32,67.3,58.83,7.5,57.48,14.3,No,Yes,High,3,8.6
Engineering,79.23,53.43,50.38,73.67,75.03,50.2,99.78,28.4,No,Yes,Low,10,7.3
Business,92.55,70.93,72.1,76.19,99.55,74.80000000000001,54.05,9.2,No,Yes,High,3,4.8
Business,57.78,74.13,41.4,54.77,76.39,66.10000000000001,50.98,8.9,Yes,No,Medium,6,4.9
CS,59.62,44.78,54.31,81.58,75.73,80.0,56.42,25.9,Yes,Yes,Medium,8,6.0
Business,77.28,50.0,98.05,88.04,97.34,44.3,91.77,19.0,No,No,Low,8,6.6
CS,78.13,60.8,76.25,98.22,80.61,12.6,99.72,16.2,Yes,Yes,Medium,4,6.6
CS,89.48,84.21,51.4,80.51,81.31,44.5,94.05,9.4,No,No,Low,1,6.6
Engineering,71.16,58.99,42.07,95.1,69.13,94.1,98.56,21.8,Yes,No,High,6,5.1
Mathematics,57.5,55.98,63.18,92.44,68.22,92.5,88.21,10.5,No,Yes,High,7,8.8
Mathematics,71.22,41.26,69.79,71.99,99.63,69.5,97.61,14.5,No,Yes,Medium,1,5.8
CS,94.06,46.73,83.0,52.96,89.66,45.9,84.7,8.9,No,Yes,Low,6,6.0
Engineering,59.79,58.62,57.78,93.17,94.13,76.0,60.83,12.6,No,No,High,10,8.1
Engineering,72.96,77.82,60.34,71.14,74.53,74.0,61.54,13.4,No,Yes,Medium,4,6.8
Engineering,94.14,47.87,97.08,61.79,73.88,58.9,72.76,27.4,No,Yes,Medium,1,5.7
Engineering,84.09,77.23,63.48,65.57,63.05,58.0,58.73,13.7,No,Yes,Low,2,5.3
Business,82.09,70.47,75.91,97.72,57.28,56.3,53.39,22.4,Yes,No,High,5,7.9
Engineering,96.63,41.46,62.97,53.74,73.39,99.1,72.43,19.6,No,Yes,High,10,5.1
CS,52.39,94.58,82.64,58.59,80.91,27.6,89.59,29.2,Yes,No,Medium,5,5.7
CS,66.42,48.11,47.99,96.43,75.13,28.8,70.56,5.9,Yes,Yes,High,8,4.9
Mathematics,75.79,40.84,58.66,75.79,91.57,61.4,57.07,24.7,No,No,High,2,5.6
Mathematics,62.68,90.2,49.74,89.3,78.45,2.2,59.13,28.7,No,No,Medium,7,4.8
Mathematics,67.7,58.24,88.21,56.54,63.19,5.8,50.49,26.6,No,Yes,High,7,6.0
Mathematics,77.1,62.81,97.94,57.42,54.34,9.1,68.7,6.2,Yes,Yes,Low,3,5.7
Business,93.88,81.37,67.23,50.48,83.54,14.4,60.26,18.1,Yes,No,Low,7,8.7
Business,83.86,41.25,71.89,81.57,84.36,45.7,55.2,29.9,Yes,No,High,7,4.2
Mathematics,64.04,86.71,65.08,75.21,97.18,41.3,90.7,22.0,No,Yes,Low,4,8.2
CS,72.07,71.23,79.5,55.72,67.53,41.7,78.71,16.3,No,Yes,Low,9,5.3
CS,80.35,50.36,62.29,98.88,69.54,97.3,74.64,8.9,No,Yes,Low,7,5.3
Mathematics,85.44,75.9,97.02,87.46,79.66,50.3,86.38,15.9,Yes,No,Low,10,7.9
Mathematics,83.01,80.37,43.93,50.6,64.74,95.0,56.33,14.5,Yes,Yes,Medium,4,6.4
Mathematics,74.3,56.42,97.81,99.02,53.72,61.4,96.56,14.2,Yes,No,Low,5,8.5
Mathematics,68.0,53.72,64.86,66.15,91.81,4.0,81.66,15.0,No,Yes,Medium,1,5.9
CS,78.51,64.26,94.99,69.58,82.48,33.7,55.37,29.2,No,No,Medium,8,5.2
Business,55.01,71.49,85.35,56.25,82.54,40.1,86.02,23.6,No,Yes,Medium,7,8.3
Business,99.79,70.98,79.01,79.53,81.56,6.0,94.61,19.6,Yes,Yes,Medium,7,8.4
CS,52.34,47.4,79.93,84.89,67.58,63.6,52.31,24.4,No,Yes,Medium,7,4.1
Engineering,66.23,95.19,75.34,79.86,71.9,41.5,64.55,7.4,No,Yes,Low,10,6.5
CS,64.74,54.56,85.74,92.97,61.34,17.7,87.15,14.0,Yes,Yes,Low,4,6.3
Business,78.86,97.76,63.2,84.17,86.28,39.3,84.91,24.4,Yes,Yes,High,7,4.4
Business,84.94,76.78,65.03,60.83,69.6,12.3,79.79,13.1,Yes,No,Low,5,4.3
CS,52.23,78.47,64.5,92.15,72.77,64.7,95.11,13.3,No,Yes,Medium,5,8.8
Business,97.83,55.86,40.28,85.79,64.42,3.0,72.57,26.9,No,No,High,5,4.2
CS,65.33,81.3,76.71,85.28,72.04,87.8,87.77,18.2,Yes,No,Low,2,5.3
Engineering,50.99,46.56,52.36,62.34,87.37,22.7,88.19,14.9,Yes,No,Medium,4,6.1
Business,85.51,92.3,77.11,90.0,60.46,43.2,96.53,23.8,No,No,Low,10,4.7
Business,60.08,98.24,43.22,52.51,95.97,54.5,88.74,25.6,Yes,Yes,High,5,7.0
Business,94.53,78.26,63.38,82.35,98.43,86.5,81.38,24.4,No,Yes,Low,3,5.8
Business,88.22,59.56,71.88,60.61,95.5,13.9,76.14,9.0,No,No,Medium,1,8.9
CS,75.11,85.27,99.85,86.75,65.99,63.2,59.45,14.5,No,No,High,3,6.7
CS,94.78,82.26,79.46,90.84,52.34,94.5,75.02,13.0,No,Yes,Medium,3,5.1
Mathematics,80.09,69.38,75.17,68.94,88.92,81.19999999999999,62.81,6.8,Yes,Yes,High,3,7.9
Mathematics,87.67,42.81,71.6,87.11,53.54,58.5,96.19,11.6,Yes,Yes,Medium,5,4.3
Mathematics,66.5,67.78,40.67,51.15,51.55,77.6,53.23,18.8,No,No,Low,4,6.1
CS,67.95,95.31,99.59,79.93,84.53,43.3,51.11,14.7,No,No,High,5,8.1
Business,93.85,64.81,88.72,92.8,86.6,91.4,73.9,10.4,Yes,No,Medium,8,5.9
CS,63.49,47.5,93.97,67.42,73.19,7.5,97.75,19.3,No,No,Medium,3,5.5
Engineering,84.95,50.37,80.29,51.35,78.54,5.0,85.32,23.5,Yes,Yes,Low,7,7.1
Business,85.94,70.26,96.93,59.76,95.65,3.8,56.8,10.1,No,Yes,Medium,1,7.9
Engineering,80.57,97.09,67.78,58.45,98.26,28.5,50.81,12.3,Yes,Yes,Medium,10,5.4
CS,80.89,69.01,75.69,92.5,89.44,35.6,99.48,18.3,Yes,Yes,Medium,9,4.4
Mathematics,57.59,85.2,72.94,53.17,52.1,58.8,56.22,9.2,No,No,High,5,6.2
Mathematics,98.73,51.5,64.65,90.74,91.87,84.39999999999999,67.47,13.7,Yes,Yes,Low,4,7.4
CS,77.04,75.9,86.88,74.35,54.19,31.7,72.24,28.1,Yes,Yes,High,8,5.1
Business,86.35,76.32,71.66,74.69,96.96,67.5,61.24,18.2,No,Yes,Low,7,5.5
Business,69.64,51.41,82.05,69.71,53.94,44.6,81.24,12.2,No,Yes,Low,3,7.8
Mathematics,95.25,65.73,85.45,96.62,80.33,5.2,84.56,29.7,Yes,Yes,High,1,6.6
Mathematics,98.99,40.6,80.62,59.35,97.78,92.3,74.2,11.6,Yes,No,High,5,4.7
Mathematics,84.77,45.4,70.15,62.17,68.17,96.8,75.95,11.5,Yes,Yes,Low,5,4.3
Mathematics,75.72,50.29,52.5,60.94,83.33,25.7,77.65,17.8,Yes,Yes,Medium,1,5.9
CS,75.35,86.78,82.0,58.59,99.48,30.5,54.54,11.9,No,No,Low,1,7.5
Engineering,73.81,67.44,95.54,51.69,91.07,80.0,59.67,19.5,Yes,No,High,4,7.1
Engineering,66.21,89.41,42.36,50.38,83.56,58.1,61.0,13.1,Yes,No,Medium,10,7.4
Business,73.44,78.56,98.77,61.03,56.25,68.5,59.88,7.2,No,No,Low,6,7.1
Engineering,59.17,85.66,58.5,77.94,64.88,74.7,72.97,21.2,Yes,Yes,High,2,5.1
CS,99.35,53.46,87.38,80.31,72.23,84.5,78.42,18.6,No,Yes,Low,6,4.4
Mathematics,92.83,81.92,52.69,98.0,90.14,25.6,54.8,12.6,Yes,Yes,High,1,4.4
Mathematics,68.38,59.21,98.79,57.59,96.79,3.0,54.87,27.8,Yes,Yes,High,2,5.6
CS,78.57,70.65,73.8,66.47,88.88,5.9,58.19,17.9,No,No,High,4,4.9
CS,92.54,43.35,71.71,62.93,91.83,2.5,70.85,10.9,No,Yes,Medium,4,5.3
Mathematics,69.07,90.15,70.19,59.95,66.57,20.7,95.58,29.5,No,No,Low,10,8.0
Business,78.73,70.68,40.71,83.08,78.38,44.0,56.38,13.4,No,No,Medium,2,8.6
CS,76.18,58.95,68.12,78.13,62.08,25.1,84.39,21.3,No,No,Medium,9,7.0
Mathematics,59.65,63.79,65.99,56.24,67.7,16.200000000000003,59.05,26.7,Yes,No,High,10,6.0
Business,82.05,89.1,42.18,64.14,58.92,6.9,82.03,19.3,Yes,Yes,Medium,6,4.0
Business,69.09,70.5,51.65,77.33,75.75,24.0,74.4,26.6,No,No,Medium,9,6.7
CS,80.3,90.71,54.05,87.84,57.18,1.0,80.85,16.5,Yes,No,Low,8,6.8
Mathematics,66.3,45.96,84.92,86.78,74.83,26.8,86.92,24.7,No,Yes,Low,7,6.1
CS,88.93,53.99,94.32,84.14,71.03,5.2,66.0,10.8,Yes,Yes,Low,6,5.5
Business,73.41,48.81,58.53,89.29,88.3,55.9,82.2,25.6,No,Yes,Low,3,7.2
Business,90.46,44.3,96.08,75.2,83.46,60.8,97.03,28.6,Yes,No,High,3,7.9
Business,90.31,70.45,64.61,63.71,57.07,36.3,51.79,17.2,Yes,No,High,3,5.5
Business,51.04,80.24,68.41,56.05,94.94,69.9,52.17,17.2,Yes,Yes,Low,4,4.1
Mathematics,76.46,69.5,55.46,90.97,52.28,40.0,69.15,14.9,No,No,High,3,5.2
Business,86.66,92.08,82.3,64.14,58.06,25.8,95.39,26.8,Yes,No,High,7,4.0
CS,87.96,62.64,89.55,83.11,72.17,1.5,75.1,27.9,No,Yes,High,4,6.4
Business,71.6,70.61,51.2,51.25,93.45,54.8,65.84,8.7,Yes,No,High,6,8.6
CS,86.58,83.74,91.71,59.36,68.61,21.7,78.45,8.2,No,No,High,5,4.6
CS,63.68,50.68,97.08,95.2,65.5,76.0,66.47,24.1,Yes,No,High,9,8.2
Engineering,59.64,83.1,81.05,63.03,92.16,26.3,92.32,19.1,No,Yes,High,1,6.4
Business,76.87,56.23,74.14,62.15,74.94,65.19999999999999,74.54,11.4,No,No,Medium,4,5.2
Mathematics,68.15,59.19,60.27,97.1,64.09,17.4,73.43,5.3,No,No,Low,4,4.2
Engineering,70.01,65.84,88.2,66.46,94.01,82.30000000000001,74.83,7.6,Yes,No,Medium,2,7.2
Mathematics,75.56,54.29,70.53,96.74,96.66,85.60000000000001,55.38,11.3,No,Yes,High,2,6.9
Business,79.95,80.64,42.05,68.05,55.46,59.5,89.19,19.6,No,Yes,Medium,6,7.3
Business,91.58,41.72,45.99,96.67,98.06,27.7,57.38,14.2,Yes,Yes,Medium,5,6.5
CS,66.93,93.31,93.56,88.35,93.76,89.3,87.94,28.2,No,Yes,High,5,7.9
Engineering,79.77,77.68,41.46,92.71,81.6,10.9,74.59,9.6,Yes,Yes,High,1,5.8
Business,58.83,52.45,85.21,93.65,61.64,86.6,92.48,22.5,No,Yes,High,9,4.4
Engineering,74.7,71.51,88.32,85.7,80.03,35.6,81.79,18.9,No,No,Low,10,6.9
Business,75.86,43.99,51.23,72.0,95.81,48.0,55.32,26.7,No,No,Medium,7,7.0
Business,76.26,88.08,69.18,82.11,60.5,45.4,78.25,23.6,No,Yes,Medium,8,8.6
CS,60.49,70.67,55.49,80.22,57.77,70.5,99.11,23.0,No,Yes,Low,7,5.3
Business,73.61,87.34,69.48,88.14,50.22,10.3,59.86,28.6,No,Yes,Medium,1,5.8
